timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3,thermistor
1729319889.0173182,,,,,,,-0.37664795,0.039367676,0.93115234,,,,,,,
1729319889.0358410,,,,,,,-0.37469482,0.035827637,0.92645264,,,,,,,
1729319889.0543635,,,,,,,-0.37072754,0.035095215,0.932312,,,,,,,
1729319889.0561299,,,,,,,,,,,,,nan,263382700.0,nan,
1729319889.0583661,802.6374,795.78754,803.44324,816.7399,nan,nan,,,,,,,,,,
1729319889.0622680,793.36993,787.326,799.011,809.89014,nan,nan,,,,,,,,,,
1729319889.0661700,769.19415,785.31134,800.2198,799.41394,nan,nan,,,,,,,,,,
1729319889.0700722,772.4176,786.1172,797.3993,805.05493,nan,nan,,,,,,,,,,
1729319889.0717402,,,,,,,,,,,,,nan,263357730.0,nan,
1729319889.0728862,,,,,,,-0.37451172,0.03363037,0.928772,,,,,,,
1729319889.0739741,801.02563,786.52014,786.9231,807.8755,nan,nan,,,,,,,,,,
1729319889.0778761,809.4872,790.9524,784.90845,801.8315,nan,nan,,,,,,,,,,
1729319889.0817780,801.4286,791.3553,788.1319,794.17584,nan,nan,,,,,,,,,,
1729319889.0856800,784.5055,787.326,790.14655,796.99634,nan,nan,,,,,,,,,,
1729319889.0873504,,,,,,,,,,,,,nan,263384320.0,nan,
1729319889.0895820,790.9524,790.14655,797.8022,811.9048,nan,nan,,,,,,,,,,
1729319889.0914090,,,,,,,-0.37384033,0.037719727,0.9307251,,,,,,,
1729319889.0934842,815.5311,791.75824,801.8315,816.337,nan,nan,,,,,,,,,,
1729319889.0973861,813.1135,786.1172,790.14655,809.89014,nan,nan,,,,,,,,,,
1729319889.1012881,801.8315,780.87915,781.685,804.2491,nan,nan,,,,,,,,,,
1729319889.1029603,,,,,,,,,,,,,nan,263428640.0,nan,
1729319889.1051900,780.07324,783.2967,774.43225,787.72894,nan,nan,,,,,,,,,,
1729319889.1090920,779.67035,794.9817,783.2967,786.9231,nan,nan,,,,,,,,,,
1729319889.1099317,,,,,,,-0.37487793,0.032348633,0.92907715,,,,,,,
1729319889.1129940,801.8315,792.96704,795.38464,805.05493,nan,nan,,,,,,,,,,
1729319889.1168962,799.41394,784.10254,790.9524,802.23444,nan,nan,,,,,,,,,,
1729319889.1185706,,,,,,,,,,,,,nan,263427040.0,nan,
1729319889.1207981,799.81683,784.90845,794.57874,801.8315,nan,nan,,,,,,,,,,
1729319889.1247001,789.7436,788.93774,795.38464,807.0696,nan,nan,,,,,,,,,,
1729319889.1284542,,,,,,,-0.37042236,0.04168701,0.92492676,,,,,,,
1729319889.1286020,783.69965,790.9524,786.52014,801.4286,nan,nan,,,,,,,,,,
1729319889.1325040,805.05493,794.17584,789.34064,805.05493,nan,nan,,,,,,,,,,
1729319889.1341808,,,,,,,,,,,,,nan,263393180.0,nan,
1729319889.1364062,820.3663,797.3993,793.7729,815.12823,nan,nan,,,,,,,,,,
1729319889.1403081,816.7399,793.7729,789.7436,813.1135,nan,nan,,,,,,,,,,
1729319889.1442101,798.20514,792.96704,794.9817,801.8315,nan,nan,,,,,,,,,,
1729319889.1469769,,,,,,,-0.37072754,0.0357666,0.9282837,,,,,,,
1729319889.1481121,790.54944,796.1905,802.6374,801.8315,nan,nan,,,,,,,,,,
1729319889.1497910,,,,,,,,,,,,,nan,263401250.0,nan,
1729319889.1520140,811.0989,799.011,806.26373,809.4872,nan,nan,,,,,,,,,,
1729319889.1559160,818.3516,794.17584,801.8315,814.7253,nan,nan,,,,,,,,,,
1729319889.1598182,817.5458,789.7436,786.9231,810.293,nan,nan,,,,,,,,,,
1729319889.1637201,800.6227,784.10254,780.07324,798.20514,nan,nan,,,,,,,,,,
1729319889.1654012,,,,,,,,,,,,,nan,263429460.0,nan,
1729319889.1654997,,,,,,,-0.37280273,0.040222168,0.9304199,,,,,,,
1729319889.1676221,783.69965,786.1172,791.3553,792.1612,nan,nan,,,,,,,,,,
1729319889.1715240,795.38464,790.54944,789.34064,792.1612,nan,nan,,,,,,,,,,
1729319889.1754260,797.8022,787.326,772.8205,789.7436,nan,nan,,,,,,,,,,
1729319889.1793280,800.2198,794.57874,776.4469,788.5348,nan,nan,,,,,,,,,,
1729319889.1810114,,,,,,,,,,,,,nan,263424600.0,nan,
1729319889.1832302,795.78754,790.9524,788.93774,786.9231,nan,nan,,,,,,,,,,
1729319889.1840224,,,,,,,-0.37060547,0.035949707,0.9334717,,,,,,,
1729319889.1871321,781.28204,782.8938,788.5348,777.6557,nan,nan,,,,,,,,,,
1729319889.1910341,796.99634,787.326,788.5348,787.326,nan,nan,,,,,,,,,,
1729319889.1949360,807.47253,771.6117,792.1612,798.20514,nan,nan,,,,,,,,,,
1729319889.1966214,,,,,,,,,,,,,nan,263441540.0,nan,
1729319889.1988380,803.44324,762.74725,791.75824,794.9817,nan,nan,,,,,,,,,,
1729319889.2025449,,,,,,,-0.3734131,0.038513184,0.9316406,,,,,,,
