timestamps,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,gamma_1,gamma_2,gamma_3,gamma_4,gamma_5,gamma_6
1729319889.0173182,73.55,73.53,73.57,73.59,NaN,NaN,30.89,28.11,30.00,32.46,NaN,NaN,35.59,35.70,35.75,35.41,NaN,NaN,52.16,52.21,52.17,52.02,NaN,NaN,66.80,66.79,66.83,66.86,NaN,NaN
1729319889.3839436,73.34,73.40,73.41,73.44,NaN,NaN,28.13,24.40,24.22,26.26,NaN,NaN,30.83,31.82,31.15,30.81,NaN,NaN,52.22,52.21,52.27,52.19,NaN,NaN,66.42,66.48,66.50,66.53,NaN,NaN
1729319889.7004526,73.30,73.44,73.22,73.22,NaN,NaN,33.12,34.78,35.04,35.30,NaN,NaN,42.77,42.51,42.35,43.02,NaN,NaN,53.39,53.47,53.34,53.23,NaN,NaN,66.78,66.92,66.66,66.66,NaN,NaN
1729319890.0175426,73.09,73.15,73.11,73.14,NaN,NaN,29.96,28.71,28.10,31.93,NaN,NaN,44.68,44.27,44.05,45.06,NaN,NaN,52.97,53.06,52.97,53.04,NaN,NaN,66.81,66.85,66.83,66.85,NaN,NaN
1729319890.3265162,73.32,73.22,73.09,73.35,NaN,NaN,34.71,26.74,26.93,35.17,NaN,NaN,45.98,45.48,45.31,46.00,NaN,NaN,54.01,54.07,53.90,54.12,NaN,NaN,67.05,66.93,66.79,67.07,NaN,NaN
1729319890.6308722,73.19,73.14,73.16,73.26,NaN,NaN,28.63,24.54,25.66,24.81,NaN,NaN,45.55,45.37,45.17,45.34,NaN,NaN,53.77,53.58,53.55,53.62,NaN,NaN,66.59,66.55,66.56,66.67,NaN,NaN
1729319890.9352283,73.17,73.14,73.29,73.29,NaN,NaN,27.38,25.17,26.71,27.98,NaN,NaN,46.26,45.70,46.29,46.39,NaN,NaN,53.23,53.24,53.38,53.29,NaN,NaN,66.57,66.55,66.71,66.72,NaN,NaN
1729319891.2415545,72.80,72.95,73.26,73.00,NaN,NaN,35.80,24.68,22.02,33.49,NaN,NaN,43.72,44.18,44.45,44.39,NaN,NaN,53.62,53.75,53.96,53.75,NaN,NaN,66.85,67.01,67.30,67.04,NaN,NaN
1729319891.5517445,72.99,73.01,73.23,73.17,NaN,NaN,24.10,22.39,25.79,26.47,NaN,NaN,46.31,46.49,46.70,46.73,NaN,NaN,53.26,53.06,53.30,53.29,NaN,NaN,66.53,66.55,66.76,66.71,NaN,NaN
1729319891.8521984,73.15,73.17,73.18,73.23,NaN,NaN,24.20,23.98,23.53,26.94,NaN,NaN,45.45,45.53,45.44,45.48,NaN,NaN,52.67,52.70,52.68,52.90,NaN,NaN,67.04,67.07,67.08,67.13,NaN,NaN
